Magazin standard,Stradă standard,Localitate standard,Sector atribuit,Județ,Nr. clienți
Staer 23,graului s4,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,greaca,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,greaca,popești-leordeni,—,ilfov,1
Staer 23,"greenfield residence, drumul padurea neagra",bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 23,grigore alexandrescu,sector 1,sector 1,bucurești,3
Staer 23,grigore ghica,pantelimon,—,ilfov,1
Staer 23,grigore iancu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,grigore ioenescu,sector 2,sector 2,bucurești,1
Staer 23,grigore lupu,moara vlăsiei,—,ilfov,1
Staer 23,grigore marin,sector 4,sector 4,bucurești,2
Staer 23,grigore marin caporal,sector 4,sector 4,bucurești,1
Staer 23,grigore moisil,1 decembrie,—,ilfov,1
Staer 23,grigore moisil,sector 2,sector 2,bucurești,1
Staer 23,grigore musceleanu,sector 4,sector 4,bucurești,1
Staer 23,grigore voda,sector 4,sector 4,bucurești,2
Staer 23,grindu,sector 5,sector 5,bucurești,1
Staer 23,grivitei,otopeni,—,ilfov,1
Staer 23,gruiul argesului,sector 3,sector 3,bucurești,2
Staer 23,gura ialomitei,sector 3,sector 3,bucurești,6
Staer 23,gura solcii,sector 3,sector 3,bucurești,1
Staer 23,gura vadului,sector 3,sector 3,bucurești,3
Staer 23,gutuiului,chitila,—,ilfov,1
Staer 23,hambarului,sector 2,sector 2,bucurești,2
Staer 23,harghita,voluntari–pipera,—,ilfov,1
Staer 23,hartegana,sector 4,sector 4,bucurești,1
Staer 23,hartopului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,hategana,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,hatisului,sector 2,sector 2,bucurești,2
Staer 23,helesteului,glina,—,ilfov,1
Staer 23,hermann oberth,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,herta,sector 2,sector 2,bucurești,4
Staer 23,hipodromului,corbeanca,—,ilfov,1
Staer 23,hirtopului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,hispania,sector 2,sector 2,bucurești,1
Staer 23,horia,dobroești,—,ilfov,1
Staer 23,hortensiei,ștefăneștii de jos,—,ilfov,2
Staer 23,hotarului,glina,—,ilfov,1
Staer 23,hrisovului,sector 1,sector 1,bucurești,1
Staer 23,huedin 7,sector 4,sector 4,bucurești,1
Staer 23,hunedoara,pantelion,—,ilfov,1
Staer 23,husi,sector 4,sector 4,bucurești,7
Staer 23,i. barbu,1 decembrie,—,ilfov,1
Staer 23,i. hunedoara,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,i.l. caragiale,1 decembrie,—,ilfov,1
Staer 23,i.l.caragiale,tunari,—,ilfov,2
Staer 23,iacobeni,sector 5,sector 5,bucurești,1
Staer 23,ialomita,pantelimon,—,ilfov,2
Staer 23,iancu brezeanu,voluntari–pipera,—,ilfov,1
Staer 23,iancu cojescu,sector 4,sector 4,bucurești,1
Staer 23,iancu jianu,sector 5,sector 5,bucurești,1
Staer 23,iasomiei,afumați,—,ilfov,1
Staer 23,icoanei,sector 2,sector 2,bucurești,1
Staer 23,idealului,bragadiru,—,ilfov,2
Staer 23,idilei,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,iederei,bragadiru,—,ilfov,4
Staer 23,ienuparului,pantelimon,—,ilfov,1
Staer 23,ienuparului,sector 1,sector 1,bucurești,1
Staer 23,ierni,bragadiru,—,ilfov,1
Staer 23,iernii,bragadiru,—,ilfov,2
Staer 23,iernii,sector 6,sector 6,bucurești,2
Staer 23,ifarului,pantelimon,—,ilfov,1
Staer 23,il caragiale,brănești,—,ilfov,1
Staer 23,il caragiale,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,il caragiale,chiajna–roșu–dudu,—,ilfov,1
Staer 23,il ccaragiale,cernica,—,ilfov,1
Staer 23,ile caragiale,brănești,—,ilfov,1
Staer 23,ilfov,brănești,—,ilfov,4
Staer 23,iliana cosanzeana,sector 5,sector 5,bucurești,1
Staer 23,ilie david,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,ilie petre,chiajna–roșu–dudu,—,ilfov,1
Staer 23,ilioara,sector 3,sector 3,bucurești,4
Staer 23,imparatu traian,sector 4,sector 4,bucurești,1
Staer 23,imparatul traian,sector 4,sector 4,bucurești,11
Staer 23,independentei,1 decembrie,—,ilfov,2
Staer 23,independentei,berceni (ilfov),—,ilfov,9
Staer 23,independentei,berceni transport 60 lei,—,ilfov,1
Staer 23,independentei,pantelimon,—,ilfov,3
Staer 23,industriei,popești-leordeni,—,ilfov,1
Staer 23,industriilor,sector 3,sector 3,bucurești,4
Staer 23,infratirii,berceni (ilfov),—,ilfov,4
Staer 23,infratirii,sector 1,sector 1,bucurești,1
Staer 23,ing d.tacu,sector 5,sector 5,bucurești,1
Staer 23,ing teodor dragu,sector 5,sector 5,bucurești,1
Staer 23,ing theodor dragu,sector 5,sector 5,bucurești,1
Staer 23,inginer stefan hepites,sector 4,sector 4,bucurești,1
Staer 23,inginerilor t,sector 2,sector 2,bucurești,1
Staer 23,ingusta,glina,—,ilfov,1
Staer 23,institutului,corbeanca,—,ilfov,1
Staer 23,int actiunii,sector 4,sector 4,bucurești,1
Staer 23,int adierii,sector 4,sector 4,bucurești,1
Staer 23,int badeni,sector 3,sector 3,bucurești,1
Staer 23,int baltisoara,sector 4,sector 4,bucurești,1
Staer 23,int barsei,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,int barsei,sector 3,sector 3,bucurești,2
Staer 23,int barsei,sector 4,sector 4,bucurești,1
Staer 23,int crinului,măgurele,—,ilfov,1
Staer 23,int crisul alb,sector 4,sector 4,bucurești,1
Staer 23,int crisului,sector 4,sector 4,bucurești,1
Staer 23,int drumul binelui,sector 4,sector 4,bucurești,1
Staer 23,int fagetelu,sector 4,sector 4,bucurești,1
Staer 23,int horbotei,sector 3,sector 3,bucurești,2
Staer 23,int ion ciopleanu,sector 3,sector 3,bucurești,1
Staer 23,int lacramioarei,berceni (ilfov),—,ilfov,1
Staer 23,int morii,glina,—,ilfov,1
Staer 23,int muncii,sector 3,sector 3,bucurești,1
Staer 23,int oituz,dobroești,—,ilfov,1
Staer 23,int orastie,sector 4,sector 4,bucurești,2
Staer 23,int parului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,int parului,sector 3,sector 3,bucurești,1
Staer 23,int pasunilor,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,int pasunilor,sector 5,sector 5,bucurești,1
Staer 23,int stefan voda,sector 5,sector 5,bucurești,1
Staer 23,int targu frumos,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 23,int targu frumos,sector 4,sector 4,bucurești,1
Staer 23,int viilor,clinceni,—,ilfov,1
Staer 23,int zlatna,sector 4,sector 4,bucurești,1
Staer 23,int. baba voica,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,int. dimieni,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,int. fecioarei,popești-leordeni,—,ilfov,1
Staer 23,int. leordeni,bragadiru,—,ilfov,1
Staer 23,int. maior avram zenovie,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,int. marasesti,berceni (ilfov),—,ilfov,1
Staer 23,int. platinei,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,int. recas,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,int. sectorului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,int. sipotul apelor,domnești,—,ilfov,1
Staer 23,int. urcusului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,int. vrabiei,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,int.ciulini,berceni (ilfov),—,ilfov,1
Staer 23,int.frunzei str.ciobanasului,sector 2,sector 2,bucurești,1
