Magazin standard,Stradă standard,Localitate standard,Sector atribuit,Județ,Nr. clienți
Staer 23,1,sector 1,sector 1,bucurești,1
Staer 23,1 dec,berceni (ilfov),—,ilfov,1
Staer 23,1 dec,tunari,—,ilfov,1
Staer 23,1 decembrie,berceni (ilfov),—,ilfov,3
Staer 23,1 decembrie,tunari,—,ilfov,4
Staer 23,1 decembrie 1918,cernica,—,ilfov,1
Staer 23,1 decembrie 1918,darasti,—,ilfov,1
Staer 23,1 mai,otopeni,—,ilfov,2
Staer 23,1 mai,popești-leordeni,—,ilfov,2
Staer 23,10 mese,sector 2,sector 2,bucurești,1
Staer 23,11 iunie,sector 4,sector 4,bucurești,3
Staer 23,12,1 decembrie,—,ilfov,1
Staer 23,132,sector 2,sector 2,bucurești,1
Staer 23,16,1 decembrie,—,ilfov,1
Staer 23,17,1 dec 1918,—,ilfov,1
Staer 23,17,1 decembrie(green city),—,ilfov,1
Staer 23,18,1 decembrie,—,ilfov,2
Staer 23,1864,chiajna–roșu–dudu,—,ilfov,1
Staer 23,19 noiembrie,sector 3,sector 3,bucurești,2
Staer 23,1decembrie 1918,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 23,1mai,popești-leordeni,—,ilfov,1
Staer 23,20,1 decembrie,—,ilfov,4
Staer 23,21,1 decembrie,—,ilfov,2
Staer 23,21,1 decembrie ( complex green city),—,ilfov,1
Staer 23,22dec 1989,dobroești,—,ilfov,1
Staer 23,23 august,baneasa,—,ilfov,1
Staer 23,23 august,jilava,—,ilfov,1
Staer 23,23 august,otopeni,—,ilfov,5
Staer 23,26,cheiul dambovitei,—,ilfov,1
Staer 23,3,1 decembrie,—,ilfov,1
Staer 23,35,solstitiului,—,ilfov,1
Staer 23,3a,privighetorilor,—,ilfov,1
Staer 23,4,sector 4,sector 4,bucurești,1
Staer 23,56jilavei,sector 4,sector 4,bucurești,1
Staer 23,70k,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,9 mai,otopeni,—,ilfov,1
Staer 23,9 mai,sector 6,sector 6,bucurești,1
Staer 23,a.s.puskin,voluntari–pipera,—,ilfov,1
Staer 23,a.ucea,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aa covasna,sector 4,sector 4,bucurești,1
Staer 23,abrud,sector 1,sector 1,bucurești,1
Staer 23,abuna,sector 1,sector 1,bucurești,1
Staer 23,abune,sector 1,sector 1,bucurești,1
Staer 23,academiei,sector 1,sector 1,bucurești,1
Staer 23,actiuni,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,actiunii,sector 4,sector 4,bucurești,7
Staer 23,acvariului,sector 6,sector 6,bucurești,1
Staer 23,acvilei,chiajna–roșu–dudu,—,ilfov,2
Staer 23,acvilei,pantelimon,—,ilfov,1
Staer 23,adrian,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aea calarasi,sector 3,sector 3,bucurești,1
Staer 23,aero city,tunari,—,ilfov,1
Staer 23,aeroportului,bragadiru,—,ilfov,1
Staer 23,aeroportului,cornetu,—,ilfov,2
Staer 23,afroditei,domnești,—,ilfov,1
Staer 23,agata barsescu,sector 3,sector 3,bucurești,1
Staer 23,agatha barsescu,sector 3,sector 3,bucurești,2
Staer 23,agnes,popești-leordeni,—,ilfov,2
Staer 23,agricultori,brănești,—,ilfov,1
Staer 23,agricultori,buftea,—,ilfov,1
Staer 23,aiu unirii,popești-leordeni,—,ilfov,2
Staer 23,aja,dimieni,—,ilfov,1
Staer 23,aja,sector 4,sector 4,bucurești,13
Staer 23,ajustorului,sector 6,sector 6,bucurești,3
Staer 23,al grigorescu,sector 3,sector 3,bucurești,1
Staer 23,al ion agribiteanu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,al oregia,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,al serbanescu,sector 1,sector 1,bucurești,1
Staer 23,al somesul cald,sector 4,sector 4,bucurești,1
Staer 23,al. cetatea veche,sector 4,sector 4,bucurești,1
Staer 23,al. iacobescu,sector 6,sector 6,bucurești,1
Staer 23,al. raul sadului,sector 4,sector 4,bucurești,1
Staer 23,al. soldat nicolae barbu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,al.aliorului,sector 4,sector 4,bucurești,1
Staer 23,al.barajul cucuteni,sector 3,sector 3,bucurești,1
Staer 23,al.ddobrina,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,al.ipsilanti,sector 2,sector 2,bucurești,1
Staer 23,al.izvorul oltului,sector 4,sector 4,bucurești,1
Staer 23,al.leorda,sector 4,sector 4,bucurești,1
Staer 23,al.otesani,sector 2,sector 2,bucurești,1
Staer 23,al.resita,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,al.rm.valcea,sector 3,sector 3,bucurești,1
Staer 23,al.sld.barbu nicolae,sector 4,sector 4,bucurești,1
Staer 23,albastrelelor,măgurele,—,ilfov,2
Staer 23,albatrosului,pantelimon,—,ilfov,3
Staer 23,albinelor,sector 4,sector 4,bucurești,2
Staer 23,aleea a stugu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea adrian carstea,sector 3,sector 3,bucurești,4
Staer 23,aleea aduintei,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 23,aleea aduintei,sector 4,sector 4,bucurești,12
Staer 23,aleea aliorului,sector 4,sector 4,bucurești,14
Staer 23,aleea ardealului,voluntari–pipera,—,ilfov,1
Staer 23,aleea arubium,sector 2,sector 2,bucurești,2
Staer 23,aleea aviatori stalpeanu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea avrig,bucurești neatribuit,bucurești neatribuit,bucurești,3
Staer 23,aleea avrig,sector 2,sector 2,bucurești,10
Staer 23,aleea baiut,sector 6,sector 6,bucurești,1
Staer 23,aleea banu udrea,sector 3,sector 3,bucurești,5
Staer 23,aleea barajul bicaz,sector 3,sector 3,bucurești,5
Staer 23,aleea barajul bistrita,sector 3,sector 3,bucurești,1
Staer 23,aleea barajul cucuteni,sector 3,sector 3,bucurești,3
Staer 23,aleea barajul lotrului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea barajul rovinari,sector 3,sector 3,bucurești,5
Staer 23,aleea barajul uzului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea barajul uzului,sector 3,sector 3,bucurești,2
Staer 23,aleea barbu ch nicolae sold,sector 4,sector 4,bucurești,1
Staer 23,aleea barsanesti,sector 6,sector 6,bucurești,1
Staer 23,aleea berevoiesti,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea bistricioara,sector 2,sector 2,bucurești,2
Staer 23,aleea brasoveni,sector 2,sector 2,bucurești,1
Staer 23,aleea buhusi,sector 3,sector 3,bucurești,6
Staer 23,aleea calnau,sector 3,sector 3,bucurești,1
Staer 23,aleea calnau (ilioara 11),sector 3,sector 3,bucurești,1
Staer 23,aleea cetatea veche,sector 4,sector 4,bucurești,34
Staer 23,aleea ciucea,sector 3,sector 3,bucurești,16
Staer 23,aleea codrii neamtului,bucurești neatribuit,bucurești neatribuit,bucurești,7
Staer 23,aleea codrii neamtului,sector 3,sector 3,bucurești,11
Staer 23,aleea covansa,sector 4,sector 4,bucurești,1
Staer 23,aleea covasna,sector 4,sector 4,bucurești,49
Staer 23,aleea cricovul dulce,sector 4,sector 4,bucurești,7
Staer 23,aleea dealul macinului,sector 6,sector 6,bucurești,2
Staer 23,aleea diham,sector 2,sector 2,bucurești,1
Staer 23,aleea dolina,sector 4,sector 4,bucurești,7
Staer 23,aleea donea diana alexandra,sector 4,sector 4,bucurești,10
Staer 23,aleea dorohoi,sector 4,sector 4,bucurești,23
Staer 23,aleea dragos mladinovici,bucurești neatribuit,bucurești neatribuit,bucurești,3
Staer 23,aleea dragos mladinovici,sector 3,sector 3,bucurești,1
Staer 23,aleea dragos mladinovici,sector 4,sector 4,bucurești,4
Staer 23,aleea dragos nadinovici,sector 4,sector 4,bucurești,2
Staer 23,aleea dumbrava noua,sector 5,sector 5,bucurești,3
Staer 23,aleea ea adrian dan urucu,sector 4,sector 4,bucurești,4
Staer 23,aleea ea argedava,sector 2,sector 2,bucurești,1
Staer 23,aleea ea arheologilor,sector 6,sector 6,bucurești,1
Staer 23,aleea ea arinii dornei,sector 6,sector 6,bucurești,2
Staer 23,aleea ea banul udrea,sector 3,sector 3,bucurești,3
Staer 23,aleea ea baraj bicaz,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 23,aleea ea baraj cucuteni,sector 3,sector 3,bucurești,2
Staer 23,aleea ea baraj lotru,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea ea baraj lotru,sector 3,sector 3,bucurești,2
Staer 23,aleea ea baraju bicaz,sector 3,sector 3,bucurești,1
Staer 23,aleea ea baraju dunarii,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea ea barajul bistriței,sector 3,sector 3,bucurești,5
Staer 23,aleea ea barajul cu cuteni,sector 3,sector 3,bucurești,1
Staer 23,aleea ea barajul dunarii,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 23,aleea ea barajul dunarii,sector 2,sector 2,bucurești,1
Staer 23,aleea ea barajul dunarii,sector 3,sector 3,bucurești,8
Staer 23,aleea ea barajul lotru,sector 3,sector 3,bucurești,3
Staer 23,aleea ea barajul sadului,sector 3,sector 3,bucurești,8
Staer 23,aleea ea barzei,buftea,—,ilfov,1
Staer 23,aleea ea bazei,buftea,—,ilfov,1
Staer 23,aleea ea blajel,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea ea blajel,sector 3,sector 3,bucurești,1
Staer 23,aleea ea borcea,sector 4,sector 4,bucurești,2
Staer 23,aleea ea botoran,sector 5,sector 5,bucurești,1
Staer 23,aleea ea botorani,sector 5,sector 5,bucurești,1
Staer 23,aleea ea calinesti,sector 4,sector 4,bucurești,13
Staer 23,aleea ea calistrat hogas,sector 3,sector 3,bucurești,1
Staer 23,aleea ea campul cu flori,sector 6,sector 6,bucurești,1
Staer 23,aleea ea campul cu florin,sector 6,sector 6,bucurești,1
Staer 23,aleea ea campului,buftea,—,ilfov,1
Staer 23,aleea ea cetatuia,bucurești neatribuit,bucurești neatribuit,bucurești,3
Staer 23,aleea ea cetatuia,sector 6,sector 6,bucurești,1
Staer 23,aleea ea ciceu,sector 4,sector 4,bucurești,23
Staer 23,aleea ea cindrel,sector 3,sector 3,bucurești,2
Staer 23,aleea ea cioplea,sector 3,sector 3,bucurești,3
Staer 23,aleea ea circului,sector 2,sector 2,bucurești,1
Staer 23,aleea ea cislau,sector 2,sector 2,bucurești,5
Staer 23,aleea ea cizlau,sector 2,sector 2,bucurești,1
Staer 23,aleea ea compozitorilor,sector 6,sector 6,bucurești,2
Staer 23,aleea ea constructorului,buftea,—,ilfov,1
Staer 23,aleea ea crevedia,sector 4,sector 4,bucurești,8
Staer 23,aleea ea cricovul sarat,sector 4,sector 4,bucurești,11
Staer 23,aleea ea câmpul mosilor,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea ea dobrina,sector 2,sector 2,bucurești,5
Staer 23,aleea ea domnisoara pogany,sector 6,sector 6,bucurești,1
Staer 23,aleea ea donediana,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea ea dumbravei,jilava,—,ilfov,5
Staer 23,aleea ea dumbravita,sector 6,sector 6,bucurești,1
Staer 23,aleea ea eprubetei,sector 3,sector 3,bucurești,7
Staer 23,aleea ea epubetrei,sector 3,sector 3,bucurești,1
Staer 23,aleea ea fetesti,sector 3,sector 3,bucurești,8
Staer 23,aleea ea florin ciungan,sector 3,sector 3,bucurești,3
Staer 23,aleea ea ghencea,sector 6,sector 6,bucurești,2
Staer 23,aleea ea ghimes,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 23,aleea ea giurgeni,sector 3,sector 3,bucurești,6
Staer 23,aleea ea gladiolei,pantelimon,—,ilfov,1
Staer 23,aleea ea i. agarbiceanu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea ea ianca,sector 3,sector 3,bucurești,4
Staer 23,aleea ea ilia,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea ea ilia,sector 2,sector 2,bucurești,6
Staer 23,aleea ea ilia,sector 3,sector 3,bucurești,1
Staer 23,aleea ea ilioara,sector 3,sector 3,bucurești,8
Staer 23,aleea ea in agarbiceanu,sector 3,sector 3,bucurești,1
Staer 23,aleea ea ion agarbiceanu,sector 3,sector 3,bucurești,7
Staer 23,aleea ea istru,sector 4,sector 4,bucurești,1
Staer 23,aleea ea izvorul crisului,sector 4,sector 4,bucurești,9
Staer 23,aleea ea jieneasca,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea ea lacul morii,sector 6,sector 6,bucurești,2
Staer 23,aleea ea lacului,fundeni,—,ilfov,1
Staer 23,aleea ea lagos,sector 1,sector 1,bucurești,1
Staer 23,aleea ea liorului,sector 4,sector 4,bucurești,1
Staer 23,aleea ea lipanesti,sector 3,sector 3,bucurești,1
Staer 23,aleea ea livezilor,sector 5,sector 5,bucurești,4
Staer 23,aleea ea llia,sector 2,sector 2,bucurești,1
Staer 23,aleea ea lunguletu,sector 2,sector 2,bucurești,12
Staer 23,aleea ea madarasi,sector 3,sector 3,bucurești,3
Staer 23,aleea ea manastirea gabia,sector 3,sector 3,bucurești,1
Staer 23,aleea ea marius emanoil buteica,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea ea marius emanoil buteica,sector 2,sector 2,bucurești,1
Staer 23,aleea ea marius emanoil buteica,sector 3,sector 3,bucurești,5
Staer 23,aleea ea marius emanoil buteica,sector 4,sector 4,bucurești,1
Staer 23,aleea ea mizil,sector 3,sector 3,bucurești,25
Staer 23,aleea ea mladinovici dragoș,sector 4,sector 4,bucurești,3
Staer 23,aleea ea moldovita,sector 4,sector 4,bucurești,4
Staer 23,aleea ea mosistea,sector 3,sector 3,bucurești,1
Staer 23,aleea ea mostistea,sector 3,sector 3,bucurești,2
Staer 23,aleea ea motistea,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea ea ninsori,sector 3,sector 3,bucurești,2
Staer 23,aleea ea ninsorii,sector 3,sector 3,bucurești,4
Staer 23,aleea ea onisifor ghobu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea ea ornamentului,sector 4,sector 4,bucurești,10
Staer 23,aleea ea perisoru,sector 3,sector 3,bucurești,3
Staer 23,aleea ea plevnei,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea ea poarta alba,sector 6,sector 6,bucurești,1
Staer 23,aleea ea podul girgiului,sector 5,sector 5,bucurești,1
Staer 23,aleea ea poet dimitrie anghel,sector 3,sector 3,bucurești,1
Staer 23,aleea ea poiana muntelui,sector 6,sector 6,bucurești,1
Staer 23,aleea ea popstavarul,sector 3,sector 3,bucurești,1
Staer 23,aleea ea postavaru,sector 3,sector 3,bucurești,1
Staer 23,aleea ea postavarului,sector 3,sector 3,bucurești,5
Staer 23,aleea ea potaisa,sector 6,sector 6,bucurești,2
Staer 23,aleea ea radaseni,sector 5,sector 5,bucurești,2
Staer 23,aleea ea ramnicu valcea,sector 3,sector 3,bucurești,9
Staer 23,aleea ea raul sadului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea ea raul sadului,sector 4,sector 4,bucurești,2
Staer 23,aleea ea resita b,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea ea resita b,sector 4,sector 4,bucurești,2
Staer 23,aleea ea resita d,sector 4,sector 4,bucurești,26
Staer 23,aleea ea restia d,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea ea salaj 5,sector 5,sector 5,bucurești,1
Staer 23,aleea ea sargetia,sector 2,sector 2,bucurești,1
Staer 23,aleea ea satu mare,pantelimon,—,ilfov,1
Staer 23,aleea ea scolarilor,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea ea scolarilor,sector 3,sector 3,bucurești,4
Staer 23,aleea ea scolarilor,sector 4,sector 4,bucurești,1
Staer 23,aleea ea secuilor,bucurești neatribuit,bucurești neatribuit,bucurești,4
Staer 23,aleea ea secuilor,sector 4,sector 4,bucurești,3
Staer 23,aleea ea sinaia,sector 2,sector 2,bucurești,2
Staer 23,aleea ea sld.adrian carstea,sector 3,sector 3,bucurești,1
Staer 23,aleea ea solidaritatii,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 23,aleea ea solidaritatii,sector 3,sector 3,bucurești,2
Staer 23,aleea ea somesul mare,sector 4,sector 4,bucurești,6
Staer 23,aleea ea somesul mic,sector 4,sector 4,bucurești,6
Staer 23,aleea ea somesului,sector 4,sector 4,bucurești,1
Staer 23,aleea ea somwsul mic,sector 4,sector 4,bucurești,1
Staer 23,aleea ea stogu,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 23,aleea ea stupilor,sector 4,sector 4,bucurești,8
Staer 23,aleea ea suraia,sector 3,sector 3,bucurești,4
Staer 23,aleea ea surianu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea ea tandala,sector 3,sector 3,bucurești,2
Staer 23,aleea ea tandala- veris residence 2,sector 3,sector 3,bucurești,1
Staer 23,aleea ea tebe,bucurești neatribuit,bucurești neatribuit,bucurești,3
Staer 23,aleea ea tebea,sector 4,sector 4,bucurești,11
Staer 23,aleea ea teisan,sector 1,sector 1,bucurești,1
Staer 23,aleea ea teisani,sector 1,sector 1,bucurești,5
Staer 23,aleea ea teiul doamnei,sector 2,sector 2,bucurești,1
Staer 23,aleea ea tibles 3,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea ea tomesti,sector 4,sector 4,bucurești,29
Staer 23,aleea ea topoloveni,sector 6,sector 6,bucurești,1
Staer 23,aleea ea tornadei,sector 3,sector 3,bucurești,2
Staer 23,aleea ea ucea,sector 4,sector 4,bucurești,14
Staer 23,aleea ea uioara,sector 4,sector 4,bucurești,11
Staer 23,aleea ea urucu adrian dan,sector 4,sector 4,bucurești,1
Staer 23,aleea ea urucu dan adrian,sector 4,sector 4,bucurești,2
Staer 23,aleea ea vacaresti,sector 4,sector 4,bucurești,1
Staer 23,aleea ea valea boteni,sector 6,sector 6,bucurești,3
Staer 23,aleea ea valea florilor,sector 6,sector 6,bucurești,1
Staer 23,aleea ea varfu cu dor,sector 3,sector 3,bucurești,1
Staer 23,aleea ea vergului,sector 2,sector 2,bucurești,4
Staer 23,aleea ea zanelor,sector 4,sector 4,bucurești,3
Staer 23,aleea ea zarandului,sector 2,sector 2,bucurești,2
Staer 23,aleea ea zorelelor,sector 6,sector 6,bucurești,2
Staer 23,aleea emanoil buteica,sector 3,sector 3,bucurești,2
Staer 23,aleea emanuel buteica,sector 3,sector 3,bucurești,1
Staer 23,aleea emil bota,sector 3,sector 3,bucurești,1
Staer 23,aleea emil racovita,sector 4,sector 4,bucurești,33
Staer 23,aleea fizicienilor,sector 3,sector 3,bucurești,22
Staer 23,aleea fruntas tudor constantin,sector 3,sector 3,bucurești,1
Staer 23,aleea fuiorului,sector 3,sector 3,bucurești,7
Staer 23,aleea garii,jilava,—,ilfov,12
Staer 23,aleea garii pantelimon,voluntari–pipera,—,ilfov,2
Staer 23,aleea ghirlandei,sector 6,sector 6,bucurești,1
Staer 23,aleea gornesti,sector 4,sector 4,bucurești,23
Staer 23,aleea gura calnaului,sector 3,sector 3,bucurești,1
Staer 23,aleea huedin,sector 4,sector 4,bucurești,45
Staer 23,aleea imasului,sector 5,sector 5,bucurești,2
Staer 23,aleea iosif hodos,sector 3,sector 3,bucurești,1
Staer 23,aleea izvorul oltului,sector 4,sector 4,bucurești,37
Staer 23,aleea laceni,sector 3,sector 3,bucurești,3
Staer 23,aleea lacramioarei,sector 3,sector 3,bucurești,6
Staer 23,aleea lacului,dobroești,—,ilfov,1
Staer 23,aleea lacului,sector 2,sector 2,bucurești,1
Staer 23,aleea lamotesti,sector 4,sector 4,bucurești,51
Staer 23,aleea leorda,sector 3,sector 3,bucurești,2
Staer 23,aleea leresti,sector 5,sector 5,bucurești,1
Staer 23,aleea lunca bradului,sector 3,sector 3,bucurești,9
Staer 23,aleea luncsoara,sector 2,sector 2,bucurești,2
Staer 23,aleea magura vulturului,sector 2,sector 2,bucurești,9
Staer 23,aleea manastirea agapia,sector 3,sector 3,bucurești,4
Staer 23,aleea mariu emanoil buteica,sector 3,sector 3,bucurești,1
Staer 23,aleea mirea mioara luiza,sector 4,sector 4,bucurești,13
Staer 23,aleea mozaicului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea mozaicului,sector 2,sector 2,bucurești,2
Staer 23,aleea negru voda,sector 3,sector 3,bucurești,2
Staer 23,aleea niculitel,sector 4,sector 4,bucurești,19
Staer 23,aleea onisifor ghibu,sector 3,sector 3,bucurești,2
Staer 23,aleea ornamnentului,sector 4,sector 4,bucurești,1
Staer 23,aleea otesani,sector 2,sector 2,bucurești,2
Staer 23,aleea padurea craiului,sector 3,sector 3,bucurești,1
Staer 23,aleea pantelimon,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea pantelimon,sector 4,sector 4,bucurești,1
Staer 23,aleea patulului,sector 3,sector 3,bucurești,5
Staer 23,aleea petre antonescu,sector 2,sector 2,bucurești,3
Staer 23,aleea piatra mare,sector 2,sector 2,bucurești,2
Staer 23,aleea plesesti,sector 3,sector 3,bucurești,5
Staer 23,aleea plopilor,buftea,—,ilfov,1
Staer 23,aleea podul giurgiului,bucurești neatribuit,bucurești neatribuit,bucurești,3
Staer 23,aleea podul giurgiului,sector 5,sector 5,bucurești,7
Staer 23,aleea posada,sector 5,sector 5,bucurești,1
Staer 23,aleea postavarul,sector 3,sector 3,bucurești,4
Staer 23,aleea prevederii,sector 3,sector 3,bucurești,29
Staer 23,aleea prisor,sector 3,sector 3,bucurești,1
Staer 23,aleea ramnicul valcea,sector 3,sector 3,bucurești,5
Staer 23,aleea rasinari,sector 3,sector 3,bucurești,4
Staer 23,aleea rasinari,sector 5,sector 5,bucurești,1
Staer 23,aleea raul doamnei,sector 6,sector 6,bucurești,1
Staer 23,aleea raul targului,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 23,aleea raul targului,sector 4,sector 4,bucurești,2
Staer 23,aleea resita,bucurești neatribuit,bucurești neatribuit,bucurești,15
Staer 23,aleea resita,sector 4,sector 4,bucurești,37
Staer 23,aleea resita,sector 5,sector 5,bucurești,1
Staer 23,aleea rimnicu vilcea,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea rm. valcea,sector 3,sector 3,bucurești,3
Staer 23,aleea rotunda,sector 3,sector 3,bucurești,6
Staer 23,aleea sg.maj.victor popescu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea sg.maj.victor popescu,sector 4,sector 4,bucurești,1
Staer 23,aleea simbolului,bragadiru,—,ilfov,2
Staer 23,aleea simesul mic,sector 4,sector 4,bucurești,1
Staer 23,aleea slatioara,sector 4,sector 4,bucurești,6
Staer 23,aleea slt. p.m. dragos mladinovici,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea slt.dragos mladovici,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea socului,sector 2,sector 2,bucurești,3
Staer 23,aleea sold. nicolae barbu,bucurești neatribuit,bucurești neatribuit,bucurești,3
Staer 23,aleea soldat barbu nicolae,sector 4,sector 4,bucurești,1
Staer 23,aleea somesul cald,sector 4,sector 4,bucurești,9
Staer 23,aleea stl. dragos mladinovici,sector 4,sector 4,bucurești,1
Staer 23,aleea t,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea terasei,sector 4,sector 4,bucurești,21
Staer 23,aleea timis,pantelimon,—,ilfov,2
Staer 23,aleea tohani,sector 4,sector 4,bucurești,3
Staer 23,aleea tornaadei,sector 3,sector 3,bucurești,1
Staer 23,aleea tripoli,sector 1,sector 1,bucurești,1
Staer 23,aleea urucu adrian,sector 4,sector 4,bucurești,3
Staer 23,aleea valea calugareasca,sector 6,sector 6,bucurești,1
Staer 23,aleea valea lui mihai,sector 6,sector 6,bucurești,2
Staer 23,aleea varful cu dor,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,aleea varful cu dor,sector 3,sector 3,bucurești,2
Staer 23,aleea vasile goldis,sector 3,sector 3,bucurești,2
Staer 23,aleea vlahita,sector 3,sector 3,bucurești,6
Staer 23,aleea xandru moruzzi,sector 3,sector 3,bucurești,2
Staer 23,aleea zavideni,sector 3,sector 3,bucurești,1
Staer 23,allea calinesti,sector 4,sector 4,bucurești,1
Staer 23,allea mostistea,sector 3,sector 3,bucurești,1
Staer 23,almasu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,almasu mic,sector 4,sector 4,bucurești,17
Staer 23,almasul mare,sector 4,sector 4,bucurești,6
Staer 23,almasul mic,sector 4,sector 4,bucurești,1
Staer 23,alpinesti,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,alpinesti,sector 4,sector 4,bucurești,1
Staer 23,altoiului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,altoiului,sector 5,sector 5,bucurești,1
Staer 23,alunis,măgurele,—,ilfov,3
Staer 23,alunisu,alunisu,—,ilfov,1
Staer 23,alunului,bragadiru,—,ilfov,4
Staer 23,alunului,periș,—,ilfov,1
Staer 23,alx.vlahuta,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,ambroziei,pantelimon,—,ilfov,1
Staer 23,ametistului,bragadiru,—,ilfov,1
Staer 23,amilcar c sandulescu,sector 6,sector 6,bucurești,1
Staer 23,amiral horia macelariu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,amosilor,sector 6,sector 6,bucurești,1
Staer 23,amurgului,balotești,—,ilfov,1
Staer 23,amurgului,măgurele,—,ilfov,1
Staer 23,amurgului,popești-leordeni,—,ilfov,38
Staer 23,amurgului - viva residence,popești-leordeni,—,ilfov,1
Staer 23,amurgului(moon residence 2),popești-leordeni,—,ilfov,1
Staer 23,amurgului- palm residence,popești-leordeni,—,ilfov,1
Staer 23,amza pelea,voluntari–pipera,—,ilfov,2
Staer 23,amza pellea,voluntari–pipera,—,ilfov,1
Staer 23,ana ipatescu,jilava,—,ilfov,3
Staer 23,anastasie panu,sector 3,sector 3,bucurești,6
Staer 23,anastasie paun,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,ancutei,popești-leordeni,—,ilfov,1
Staer 23,andrei barseanu,sector 3,sector 3,bucurești,1
Staer 23,andrei poovici,sector 1,sector 1,bucurești,1
Staer 23,andrei popovici,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,andronache,sector 2,sector 2,bucurești,2
Staer 23,andton bacalbasa,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,anemonelor,bragadiru,—,ilfov,1
Staer 23,anghel alexandru,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,anghel dogaru,sector 5,sector 5,bucurești,2
Staer 23,anghel moldovanu,sector 4,sector 4,bucurești,1
Staer 23,anghel nutu,sector 5,sector 5,bucurești,1
Staer 23,ansamblu green city,1 decembrie,—,ilfov,1
Staer 23,antom bacalbasa,sector 4,sector 4,bucurești,1
Staer 23,anton bacalbasa,sector 4,sector 4,bucurești,23
Staer 23,anton balcalbasa,sector 4,sector 4,bucurești,1
Staer 23,anton colorian,sector 4,sector 4,bucurești,1
Staer 23,anton pan,sector 3,sector 3,bucurești,1
Staer 23,apollo residence,popești-leordeni,—,ilfov,1
